company_name,country,industry_friendly,signal_mix,has_sbti,event_count,score,justification
RV Soluções Industriais Ltda.,BR,Energía & Servicios Públicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Energía & Servicios Públicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2024-10-24)
Capricórnio Têxtil,BR,Manufactura industrial,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Manufactura industrial (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2025-07-24)
Lars Partners,UY,Manufactura industrial,sbti:1,True,1,1.442,1 señales (sbti:1); país=UY (w=1.0); industria=Manufactura industrial (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2020-10-22)
Companhia Paranaense de Energia - COPEL,BR,Energía & Servicios Públicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Energía & Servicios Públicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2021-09-16)
ComBio Energia S.A.,BR,Energía & Servicios Públicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Energía & Servicios Públicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2022-07-28)
Arauco,CL,Minería & materiales básicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=CL (w=1.0); industria=Minería & materiales básicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2024-03-07)
Neoenergia S.A,BR,Energía & Servicios Públicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Energía & Servicios Públicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2023-08-10)
Centrais Elétricas Brasileiras S.A. - Eletrobras,BR,Energía & Servicios Públicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Energía & Servicios Públicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2025-03-13)
Metalfrio Solutions S.A.,BR,Energía & Servicios Públicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Energía & Servicios Públicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2024-08-15)
MASISA,CL,Minería & materiales básicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=CL (w=1.0); industria=Minería & materiales básicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2022-02-22)
Iguá Saneamento S.A.,BR,Energía & Servicios Públicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Energía & Servicios Públicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2021-07-29)
LITOPLAS S.A.,CO,Manufactura industrial,sbti:1,True,1,1.442,1 señales (sbti:1); país=CO (w=1.0); industria=Manufactura industrial (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2024-05-16)
USIMECA USINAGEM INDUSTRIAL,BR,Minería & materiales básicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Minería & materiales básicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2023-01-12)
Inamar Vapor,CL,Energía & Servicios Públicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=CL (w=1.0); industria=Energía & Servicios Públicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2025-04-03)
IGB Eletrônica,BR,Manufactura industrial,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Manufactura industrial (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2023-04-27)
ITALBRONZE LTDA,BR,Minería & materiales básicos,sbti:1,True,1,1.442,1 señales (sbti:1); país=BR (w=1.0); industria=Minería & materiales básicos (w=1.0); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2022-06-30)
Grupo CCR,BR,"Transporte, Movilidad & Logística",sbti:1,True,1,0.8652,"1 señales (sbti:1); país=BR (w=1.0); industria=Transporte, Movilidad & Logística (w=0.6); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2023-10-26)"
Ativa Logística,BR,"Transporte, Movilidad & Logística",sbti:1,True,1,0.8652,"1 señales (sbti:1); país=BR (w=1.0); industria=Transporte, Movilidad & Logística (w=0.6); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2025-08-21)"
Novofarma Service S.A.,CL,Retail & servicios al consumidor,sbti:1,True,1,0.8652,1 señales (sbti:1); país=CL (w=1.0); industria=Retail & servicios al consumidor (w=0.6); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2024-01-18)
Opain S.A,CO,"Transporte, Movilidad & Logística",sbti:1,True,1,0.8652,"1 señales (sbti:1); país=CO (w=1.0); industria=Transporte, Movilidad & Logística (w=0.6); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2022-05-05)"
TUNKER QUÍMICA IMPORTAÇÃO LTDA,BR,"Transporte, Movilidad & Logística",sbti:1,True,1,0.8652,"1 señales (sbti:1); país=BR (w=1.0); industria=Transporte, Movilidad & Logística (w=0.6); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2025-08-21)"
ODINSA S.A.,CO,"Construcción, Infraestructura & Bienes Raíces",sbti:1,True,1,0.8652,"1 señales (sbti:1); país=CO (w=1.0); industria=Construcción, Infraestructura & Bienes Raíces (w=0.6); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2021-10-04)"
Odata Brasil S.A.,BR,"Construcción, Infraestructura & Bienes Raíces",sbti:1,True,1,0.8652,"1 señales (sbti:1); país=BR (w=1.0); industria=Construcción, Infraestructura & Bienes Raíces (w=0.6); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2022-07-07)"
CSN Cimentos Brasil,BR,"Construcción, Infraestructura & Bienes Raíces",sbti:1,True,1,0.8652,"1 señales (sbti:1); país=BR (w=1.0); industria=Construcción, Infraestructura & Bienes Raíces (w=0.6); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2024-07-11)"
Azul Linhas Aéreas Brasileiras,BR,"Transporte, Movilidad & Logística",sbti:1,True,1,0.8652,"1 señales (sbti:1); país=BR (w=1.0); industria=Transporte, Movilidad & Logística (w=0.6); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2024-10-03)"
Farmax,BR,Retail & servicios al consumidor,sbti:1,True,1,0.8652,1 señales (sbti:1); país=BR (w=1.0); industria=Retail & servicios al consumidor (w=0.6); mix=1.00 · boost=1.40 · volumen=1.03 · recencia=1.00 (última: 2023-01-19)
